author_id,institution_id
A5068022071,I4210107217
A5014950400,I4210123993
A5021997056,I4210114368
A5041369109,I4210123993
A5010415543,I4210095101
A5076833967,I4210095101
A5050425757,I4210095101
A5011814353,I4210095101
A5007252074,I4210095101
A5046846003,I2802508454
LOCAL_A000001,I2802508454
A5034194161,I4210115718
A5034194161,I4387154951
A5052932812,I67255865
A5103096805,I4210095101
A5029896071,I4210141768
A5062184716,I4210137358
A5109280766,I4210095101
A5056522373,I123565023
A5072077918,I4210095101
A5052958591,I4210152550
A5072883137,I4210152550
A5088363082,I4210152550
A5060570144,I4210143324
A5060570144,I1287643137
A5102070282,I4210095633
A5102070282,I4210152602
A5001802727,I4210152602
A5000852799,I4210152602
A5103558942,I4210163374
A5108502319,I4210123993
A5045175158,I4210152550
A5100705609,I4210143324
A5100705609,I1287643137
A5080704496,I1287643137
A5080704496,I4210143324
A5074537027,I4210095799
A5009356185,I2800701776
A5052436567,I4210159832
A5075629036,I8775707
A5114594133,I192455969
A5011724052,I94518387
A5045408352,I152815399
A5002869113,I172675005
A5002869113,I3020192730
A5020412391,I4210123993
A5076032909,I4210147407
A5079187530,I2799937713
A5086095919,I4210110470
A5069302582,I1287097855
A5045600839,I103605065
A5075291010,I4210142967
A5036038477,I191642347
A5028419807,I4210124898
A5010395979,I68278413
A5108190409,I4210118850
A5089854058,I149704539
A5075910447,I4210159988
A5112430168,I4210135298
A5074474395,I4210157079
A5089477886,I164865396
A5076850672,I4210100553
A5077878204,I4210105596
A5108812264,I4210113609
A5077271389,I4210140284
A5057837479,I4210120772
A5028391766,I4210156678
A5054097796,I4210148804
A5024449095,I4210143550
A5022979224,I181727666
A5087254067,I4210143550
A5005108080,I55383850
A5018679710,I4210123993
A5026143976,I4210111957
A5026143976,I4391012539
A5022723002,I83978394
A5082218840,I4210094501
A5110556117,I4210090642
A5090660367,I123946342
A5024526613,I26725883
A5024526613,I4210093012
A5034684238,I4210131859
A5109019942,I4210123993
A5111361533,I4210123993
A5067682063,I4210123993
A5111361534,I4210123993
A5111361534,I4387155935
A5111361534,I47265099
A5087019672,I4210123993
A5087019672,I4387155935
A5087019672,I47265099
A5101985554,I4210123993
A5068268080,I4210123993
A5007250589,I4210139239
A5043525540,I3133086891
A5043525540,I32021983
A5043525540,I4210139239
A5039479946,I143578492
A5071517633,I143578492
A5030860493,I28777354
A5088410956,I4210123993
A5029157921,I4210123993
A5024449095,I80947539
A5072269422,I143578492
A5072269422,I43369023
A5016510429,I43369023
A5041023060,I6469544
A5064606348,I4210123993
A5091554286,I187855631
A5045268600,I181727666
A5028442936,I4210111957
A5102010814,I4210123993
A5010462592,I154757721
A5010462592,I197854408
A5069724897,I3129629310
A5022176740,I4210123993
A5022176740,I913481162
A5052862902,I913481162
A5004526884,I913481162
A5042264865,I913481162
A5001474077,I70349855
A5113201220,I70349855
A5112701559,I70349855
A5044058358,I70349855
A5086554424,I70349855
A5030875962,I4210123993
A5018935783,I4210123993
A5101455057,I7726996
A5090464440,I179311214
A5091522531,I4210123993
A5015551812,I4210116271
A5055365606,I143578492
A5049698133,I49382586
A5113047463,I4210123993
A5112851593,I181727666
A5016877301,I123565023
A5100648337,I4210123993
A5005338149,I4210123993
A5015211989,I4210120055
A5016799901,I4210123993
A5081322932,I4210123993
A5060394256,I4210123993
A5110733360,I4210123993
A5079721281,I4210123993
A5005903867,I4210123993
A5080275074,I4210123993
A5102955956,I111428342
A5080477516,I157358134
A5072737254,I141445968
A5103217838,I4394709108
A5006039089,I5343935
A5072109908,I87445476
A5007077248,I82828225
A5101914364,I226567900
A5050840755,I4210109591
A5100692135,I87445476
A5079571573,I152815399
A5079571573,I3131622653
A5073647327,I141445968
A5023835965,I152815399
A5041057723,I152815399
A5012675535,I3131622653
A5084615254,I141445968
A5077989995,I4210123993
A5067659457,I3020192730
A5071489355,I11983389
A5046047434,I11983389
A5068896645,I4210123993
A5084059075,I4210120055
A5039831806,I4210123993
A5071776831,I71503853
A5050137620,I71503853
A5052523494,I4400573217
A5021666100,I31079310
A5103324738,I4210123993
A5033627409,I4210090457
A5042960304,I3124059619
A5101359005,I3124059619
A5027797037,I189210763
A5027797037,I4210131885
A5045498018,I3124059619
A5036952576,I4210140379
A5036952576,I4210165038
A5028273918,I3124059619
A5088300934,I3124059619
A5074371760,I3123069486
A5005583322,I4210123993
A5027205370,I189210763
