author_id,author_name
LOCAL_A000142,A Adewumi
LOCAL_A000145,A Afia
LOCAL_A000683,A Chamot
LOCAL_A000150,A Cinar
LOCAL_A000405,A D Pham
LOCAL_A000141,A Ezugwu
LOCAL_A000337,A Furnham
LOCAL_A000255,A Hayes
LOCAL_A000257,A Huffcutt
LOCAL_A000223,A Katz
LOCAL_A000340,A Kristof
LOCAL_A000187,A Nouh
LOCAL_A000158,A Nowakowski
LOCAL_A000349,A O'cass
LOCAL_A000172,A Omar
LOCAL_A000310,A Ordanini
LOCAL_A000147,A Ouaarab
LOCAL_A000311,A Parasuraman
LOCAL_A000694,A Shahraki
LOCAL_A000357,A Tsui
LOCAL_A000705,A Wenden
LOCAL_A000008,A-Mei Huang
A5101610614,A. A. EL‐BARBARY
A5112631868,A. A. Kharchanka
A5136436435,A. A. Lavrentyev
A5020036590,A. Behnke
A5080083095,A. Duclos
A5062003821,A. E. Cárcamo Hernández
A5086340912,A. Fedynitch
A5129668892,A. Gálvez Ureña
A5077893525,A. Heri Iswanto
A5000637794,A. I. Kartamyshev
A5130087177,A. I. Kartamyshev
A5126917756,A. Idries
LOCAL_A000293,A. Julbe
A5085027248,A. Julbe
A5025657852,A. Kim
A5129672000,A. Korochkin
A5136966328,A. Matsuzawa
A5109711777,A. N. Schemelev
A5077602107,A. Naesha Nithish
A5077395669,A. Nguyen
A5057050099,A. Novo
A5109980044,A. Oshima
A5049636432,A. Pickering
A5136219938,A. Putta Rangappa
A5113227826,A.A. Lavrentyev
A5043664908,A.O. Fedorchuk
A5042264865,A.P.J. Mol
A5012512059,A.S. El-Shafay
LOCAL_A000585,A.T. Nguyen
A5048485189,A.V. Vyazmin
A5083459846,AMMAR A. RASHIED
A5060002377,ANDREY N. KUZNETSOV
A5053378533,Aarish Maqsood
A5068511935,Aaron T. Ohta
A5044252117,Aaron Tham
A5075548304,Abbas Atapourfard
A5007425238,Abd Ullah
A5023886955,Abdallah A. A. Mohammed
A5078351000,Abdel Rahman Al-Tawaha
A5044748360,Abdelaziz Salah Saidi
A5090107776,Abdolsatar Sorkheh
A5022528171,Abdul Muin Hasan Busri
A5101860760,Abdul Wahab
A5086990384,Abdullah Aamir Hayat
A5087254067,Abdurrahman Adamu Pantamee
A5017369658,Abel Duarte Alonso
A5079670135,Abhik Chatterjee
A5065897099,Abhishek Srivastava
A5013334398,Abhra Chanda
A5034456266,Abou Bakar
A5027038320,Abubokor Hanip
A5091972389,Achouak Bouarar
A5071504081,Adam Blanchard
A5053615849,Adam Cheng
A5010718958,Adam Mauskapf
A5039631988,Adeniyi Temitope Adetunji
A5027651245,Adhikesavan Harikrishnan
A5057678443,Adi Rizal Soleh
A5076717996,Adil Dilawar
A5032750590,Aditya Wisnu Wardana
LOCAL_A000492,"Adom, Philip Kofi"
A5056555278,Adriana Knápková
A5008748101,Adrián Cardíl
A5053488393,Adão Silva
A5113012247,Afia Abida Sultana
A5058710387,Afnan Al Agha
A5068470300,Afshin Ghahramani
A5061565634,Afshin Maleki
A5102021727,Afzal Shah
A5026263106,Agbotiname Lucky Imoize
A5075229392,Agnieszka Maria Koziel
A5007717816,Ahad Hasan Tanim
A5090464440,Ahmad Al-Fadly
A5062663112,Ahmad Baroutaji
A5064374149,Ahmad Ibrahim Aljumah
A5078519359,Ahmed A. Ewees
A5084293052,Ahmed Chemseddine Bouarar
A5059823880,Ahmed Elbeltagi
A5008682765,Ahmed H.E. Hassan
A5033799057,Ahmed M. Galal
A5051081707,Ahmed M. Masoud
A5068412234,Ahmed Qassem Ali Sharhan Al-Sudani
A5065393831,Ahmet Ocak Akdemi̇r
A5005197974,Ai Anh Thu Su
A5092687136,Ai Ngoc Nhan Le
A5003791909,Aijun Zhu
A5087672790,Aixian Li
A5039779616,Aizhan Nazyrova
LOCAL_A000049,Ajamaluddin Malik
A5052248524,Ajay Mandal
A5044657350,Ajaya Bhattarai
A5124022763,Ajaya Bhattarai
A5062084624,Ajit Kumar Patra
A5064393318,Ajmal Koya Pulikkal
A5040269249,Akhil Pradiprao Khedulkar
A5036994574,Akinola S. Akinwumiju
A5004237375,Akinwale T. Ogunrinde
A5079061954,Alan Daugherty
A5109603511,Albert Schömig
A5029518373,Albina Anvarovna Bilyalova
A5034159221,Alcibíades Lara Lafargue
A5058692331,Alessio Morelli
A5023056660,Alexander Hildebrandt
A5070810971,Alexander J. Bradshaw
A5022173691,Alexander Jakob
A5037601612,Alexander Mojcher
A5049249038,Alexander Neumann
A5007062060,Alexander Tong
A5137498136,Alexandr N. Schemelev
A5072683795,Alexandra N. Davis
A5028419754,Alexandre S. Gagnon
A5112130532,Alexandre Ventura
A5110451785,Alfredo F. Sierra
A5070244639,Alfredo Ismael Curbelo Garnica
A5038709614,Ali Elkamel
A5013902945,Ali Jafari
A5104601006,Ali Nouh Mabdeh
A5112902939,Ali Q
A5002781179,Ali Talebi
A5077529549,Alibek Barlybayev
A5122123240,Alice Kammwamba
A5112518881,Alice Sharp
A5126262670,Alina Mona Zenker
A5115998618,Alina Zenker
A5100643970,Alireza Kazemi
A5080542795,Alisa Dabb
A5009230144,Alisdair M. Boag
A5052322742,Allan R. de Caen
A5078980138,Allison B. Andraski
A5089333255,Allison Langham-Putrow
LOCAL_A000079,Alsharif Abuadbba
A5068264867,Amalia Fauqiah Ashari
A5100748218,Aman Ullah
A5032787752,Amanda Mummert
A5045179061,Amar Debbouche
A5045562391,Amar Prasad Yadav
A5058447725,Amartuvshin Renchin-Ochir
A5072945695,Ameen Topa
A5024135624,Amena Sibghatullah
A5011264671,Amgalan Altansukh
A5103802413,Amin Shaban
A5054981597,Aminath Shazly
LOCAL_A000487,Aminath Shazly
A5053995609,Amir Farokh Payam
A5054597879,Amir H. Mohammadi
A5062367420,Amir Karton
A5040443493,Amit Grover
A5048563533,Amitabh Sharma
A5083152805,Amjad Iqbal
