paper_id,author_id
W2958510524,A5017002382
W2958510524,A5028491207
W2958510524,A5063956844
W2958510524,A5079958449
W2958510524,A5073498622
W2958510524,A5068022071
W2958510524,A5014950400
W2958510524,A5056885320
W2958510524,A5085428223
W2958510524,A5008973458
W2958510524,A5040423202
W2958510524,A5078661947
W2958510524,A5021997056
W2958510524,A5025095503
W2958510524,A5078876786
W3013943119,A5041369109
W3013943119,A5010415543
W3013943119,A5076833967
W3013943119,A5050425757
W3013943119,A5011814353
W3013943119,A5007252074
W3013943119,A5046846003
W3013943119,LOCAL_A000001
W3013943119,A5034194161
W3013943119,A5052932812
W3013943119,A5103096805
W3013943119,A5029896071
W3013943119,A5062184716
W3013943119,A5109280766
W3013943119,A5056522373
W3013943119,A5072077918
W1902563258,A5052958591
W1902563258,A5072883137
W1902563258,A5088363082
W1902563258,A5060570144
W1902563258,A5080892177
W1902563258,A5102070282
W1902563258,A5001802727
W1902563258,A5000852799
W1902563258,A5103558942
W1902563258,A5108502319
W1902563258,A5045175158
W1902563258,A5100705609
W1902563258,A5080704496
W2172418087,A5108757199
W2172418087,A5074537027
W2172418087,A5009356185
W2172418087,A5052436567
W2172418087,A5086950255
W2172418087,A5067287880
W2172418087,A5014950400
W2172418087,A5046825896
W2172418087,A5035104463
W2172418087,A5028491207
W2172418087,A5025095503
W2172418087,A5007722052
W2172418087,A5077280166
W2172418087,A5010395979
W2172418087,A5108122544
W2172418087,A5089109767
W2172418087,A5112038070
W2172418087,A5077878204
W2172418087,A5066817807
W2172418087,A5003886399
W2172418087,A5109947023
W2172418087,A5057837479
W2172418087,A5052145396
W2172418087,A5018635438
W2172418087,A5022508032
W3017246359,A5075629036
W3017246359,A5114594133
W3017246359,A5011724052
W3017246359,A5045408352
W3017246359,A5002869113
W3017246359,A5020412391
W2983803309,A5025095503
W2983803309,A5021323660
W2983803309,A5076032909
W2983803309,A5087546110
W2983803309,A5079187530
W2983803309,A5012751492
W2983803309,A5086095919
W2983803309,A5067522840
W2983803309,A5108757199
W2983803309,A5037640754
W2983803309,A5060189092
W2983803309,A5021828664
W2983803309,A5074537027
W2983803309,A5069302582
W2983803309,A5063136501
W2983803309,A5024725268
W2983803309,A5009356185
W2983803309,A5045600839
W2983803309,A5075291010
W2983803309,A5090660367
W2983803309,A5002295771
W2983803309,A5077280166
W2983803309,A5036038477
W2983803309,A5028419807
W2983803309,A5066273011
W2983803309,A5010395979
W2983803309,A5087155298
W2983803309,A5028491207
W2983803309,A5037329176
W2983803309,A5043580746
W2983803309,A5025936190
W2983803309,A5058891664
W2983803309,A5108190409
W2983803309,A5053615849
W2983803309,A5042206762
W2983803309,A5033052795
W2983803309,A5010398085
W2983803309,A5047250540
W2983803309,A5004988236
W2983803309,A5071898408
W2983803309,A5052322742
W2983803309,A5089854058
W2983803309,A5037542179
W2983803309,A5003722648
W2983803309,A5112753382
W2983803309,A5110701424
W2983803309,A5014186524
W2983803309,A5050478516
W2983803309,A5020337708
