paper_id,topic_id,probability
W2958510524,28,0.6340558528900146
W3013943119,3,0.6043140292167664
W1902563258,31,0.7653064727783203
W2172418087,28,0.5617653727531433
W3017246359,15,0.6769686341285706
W2983803309,28,0.5841896533966064
W4280639034,19,0.7040027976036072
W4211174566,31,0.2116280049085617
W2767566591,28,0.6818565130233765
W4403315124,40,0.7822788953781128
W4206770842,15,0.6782348155975342
W4210525043,2,0.5395092368125916
W3049547297,25,0.7452884912490845
W4315628232,42,0.7257609963417053
W4385755928,19,0.8324876427650452
W4205572929,30,0.6896095871925354
W2129239406,10,0.7218142747879028
W4386077917,1,0.3564200699329376
W4385174759,0,0.797356903553009
W4212931299,19,0.7304155230522156
W4283780422,19,0.7338957786560059
W3142776653,17,0.7761384844779968
W3135296255,0,0.6128981709480286
W3116490051,27,0.7737619876861572
W4213032084,42,0.7234818339347839
W4200142760,42,0.6691145300865173
W4308443963,19,0.7289822697639465
W4212864265,8,0.3726058900356293
W3199547620,0,0.6277875900268555
W4296591880,0,0.5063974857330322
W4296707155,45,0.6640005111694336
W4313260174,12,0.47129401564598083
W4280534488,19,0.559330940246582
W3194887689,2,0.6694207191467285
W3205949772,0,0.5576497912406921
W3008389910,8,0.6203736662864685
W4290471674,34,0.7062439918518066
W4205413676,19,0.7613896727561951
W4280596026,8,0.5483978986740112
W3137403156,45,0.5165529847145081
W4231545820,25,0.600393533706665
W4317423688,1,0.5008835196495056
W4317794911,2,0.3970886170864105
W3023664969,31,0.5610056519508362
W4391612257,15,0.6527650356292725
W4320917642,15,0.6955881118774414
W3201040525,16,0.5829976201057434
W4206228720,2,0.6747446060180664
W4292265082,12,0.6527391076087952
W4385413477,15,0.6848971247673035
W4295678942,38,0.6557914614677429
W4319596802,6,0.7293806076049805
W3093833112,31,0.2116280049085617
W4283384300,19,0.6692818999290466
W4315474727,42,0.7339716553688049
W4322628962,19,0.7328730821609497
W3153426027,0,0.6810468435287476
W4200131528,1,0.5362934470176697
W4367031967,0,0.4064749777317047
W4313527793,19,0.7008086442947388
W4319456382,15,0.7119978666305542
W4320922100,38,0.7476917505264282
W4322743240,15,0.535800576210022
W4414022061,6,0.6618155837059021
W4414271358,2,0.5845457315444946
W4414298067,37,0.632115364074707
W4414500923,32,0.6750108003616333
W4415097908,9,0.6485725045204163
W4415493830,26,0.5447961688041687
W4415494710,6,0.6335771679878235
W4415557159,37,0.5695669054985046
W4415649536,31,0.4372437000274658
W4415747466,16,0.5781804323196411
W4416386813,20,0.6093942523002625
W4416407004,3,0.6364478468894958
W4416564054,15,0.5754327178001404
W4416718774,9,0.5490875840187073
W4416954067,40,0.49630242586135864
W4417200652,11,0.7154497504234314
W4417284240,2,0.19938375055789948
W7115881942,20,0.5645849108695984
W7115905231,20,0.49782437086105347
W7116782209,13,0.6264010667800903
W7117967106,40,0.6511317491531372
W7117993812,9,0.7776888608932495
W7118568249,9,0.7556365728378296
W7119595644,13,0.6340051889419556
W7123341761,1,0.39813685417175293
W7124893938,31,0.5354875326156616
W7125369332,1,0.5360338091850281
W7125419339,27,0.6894627809524536
W7125497916,36,0.7368155121803284
W7126052704,2,0.14379316568374634
W7127145222,1,0.632037878036499
W7129373484,6,0.7154037356376648
W7130349534,6,0.5225692987442017
W7133833955,6,0.34649527072906494
W7134238770,12,0.6350364685058594
W7135040571,40,0.5013826489448547
W7139092179,38,0.6552252173423767
W7153004412,15,0.5016384124755859
W2054439996,23,0.6885938048362732
W2166834409,23,0.5573824644088745
W2036122594,23,0.6095839142799377
W1491100760,31,0.7586464881896973
W1966693592,9,0.328913152217865
W1986229552,0,0.4147266745567322
W2124259739,14,0.5350205302238464
W2124661513,14,0.5065440535545349
W4241781093,10,0.6817258596420288
W2957138175,28,0.5980964303016663
W2035542467,10,0.5931291580200195
W2561235885,28,0.5357895493507385
W3011327622,24,0.6878066658973694
W3014248967,27,0.5741834044456482
W3046978282,41,0.7447693943977356
W3158335115,3,0.6303584575653076
W2062548560,14,0.5506108403205872
W3137041823,1,0.6379453539848328
W3179003915,0,0.6064723134040833
W4293226203,0,0.6965022683143616
W4362492618,26,0.2568901479244232
W2953246412,28,0.5540375113487244
W3173625614,2,0.6991973519325256
W4283779811,4,0.36091700196266174
W4293103731,7,0.8591902256011963
W2909806954,6,0.521392285823822
W3094652768,25,0.5854473114013672
W3129119852,1,0.5794020295143127
W4200616974,0,0.5672815442085266
W2383588927,33,0.698204755783081
W2887012287,45,0.6380084156990051
W3115873876,3,0.5512860417366028
W3123843024,44,0.5628550052642822
W3135218284,25,0.7408011555671692
W3135627771,0,0.6278394460678101
W3200004199,43,0.8815451264381409
W3212502722,2,0.7223644852638245
W4380203105,0,0.6924521327018738
W4382809552,5,0.20569221675395966
W4385349456,21,0.591380774974823
W2964862300,2,0.7198851108551025
W3082289561,27,0.7974399924278259
W3125339323,24,0.6382239460945129
W3134693037,0,0.6294259428977966
W3138092914,7,0.7478882670402527
W3183386125,17,0.6962817907333374
W3202893602,41,0.4851630926132202
W3214891465,9,0.36485448479652405
W4214738594,3,0.6891247630119324
W4280493801,37,0.7354182600975037
W4286470537,4,0.7143633365631104
W4291184494,3,0.6110180616378784
W4313198840,25,0.49166056513786316
W4327969100,26,0.5589669942855835
W3040505135,3,0.6229273080825806
W3133848566,0,0.5751611590385437
W3201477092,41,0.7821354866027832
W3203312421,8,0.2514340281486511
W3206327856,8,0.7036033868789673
W4231330581,14,0.6569429039955139
W4282926064,3,0.5640634894371033
W4283327689,28,0.4924360513687134
W4293317947,37,0.6799306869506836
W4308731653,16,0.3542171120643616
W4367728083,26,0.24816451966762543
W4376477514,0,0.6207924485206604
W4394924177,3,0.4217192530632019
W2885929736,1,0.49184852838516235
W3005361225,8,0.7222738265991211
W3023182627,8,0.5904449224472046
W3104851081,5,0.7597352266311646
W3138212945,7,0.8918411731719971
W3195977773,8,0.6294516324996948
W3196785563,32,0.7361135482788086
W3201373879,41,0.2828061580657959
W4280596211,42,0.7192619442939758
W4285272089,4,0.6686457991600037
W4287009081,0,0.6523168683052063
W4294301143,19,0.7326085567474365
W4298004743,35,0.6177700161933899
W4318476690,32,0.6604807376861572
W4364304374,3,0.7423550486564636
W4377002350,37,0.458137184381485
W4385461610,36,0.4405805766582489
W4385694505,16,0.44113266468048096
W4388086462,3,0.6369481682777405
W4392237545,0,0.7507741451263428
W4398763277,6,0.7340752482414246
W4401973782,0,0.5811094641685486
W4402693320,0,0.6756433248519897
W2995545104,14,0.7366510033607483
W3094686556,0,0.5535770058631897
W3095119307,8,0.7440471053123474
W3118181881,24,0.6686986088752747
W3138109193,7,0.8695714473724365
W3188003319,0,0.6903647184371948
W3201406051,29,0.27102965116500854
W4224003837,2,0.7633726596832275
