node_id,node_type,node_name
LOCAL_A000142,Author,A Adewumi
LOCAL_A000145,Author,A Afia
LOCAL_A000683,Author,A Chamot
LOCAL_A000150,Author,A Cinar
LOCAL_A000405,Author,A D Pham
LOCAL_A000141,Author,A Ezugwu
LOCAL_A000337,Author,A Furnham
LOCAL_A000255,Author,A Hayes
LOCAL_A000257,Author,A Huffcutt
LOCAL_A000223,Author,A Katz
LOCAL_A000340,Author,A Kristof
LOCAL_A000187,Author,A Nouh
LOCAL_A000158,Author,A Nowakowski
LOCAL_A000349,Author,A O'cass
LOCAL_A000172,Author,A Omar
LOCAL_A000310,Author,A Ordanini
LOCAL_A000147,Author,A Ouaarab
LOCAL_A000311,Author,A Parasuraman
LOCAL_A000694,Author,A Shahraki
LOCAL_A000357,Author,A Tsui
LOCAL_A000705,Author,A Wenden
LOCAL_A000008,Author,A-Mei Huang
A5101610614,Author,A. A. EL‐BARBARY
A5112631868,Author,A. A. Kharchanka
A5136436435,Author,A. A. Lavrentyev
A5020036590,Author,A. Behnke
A5080083095,Author,A. Duclos
A5062003821,Author,A. E. Cárcamo Hernández
A5086340912,Author,A. Fedynitch
A5129668892,Author,A. Gálvez Ureña
A5077893525,Author,A. Heri Iswanto
A5000637794,Author,A. I. Kartamyshev
A5130087177,Author,A. I. Kartamyshev
A5126917756,Author,A. Idries
LOCAL_A000293,Author,A. Julbe
A5085027248,Author,A. Julbe
A5025657852,Author,A. Kim
A5129672000,Author,A. Korochkin
A5136966328,Author,A. Matsuzawa
A5109711777,Author,A. N. Schemelev
A5077602107,Author,A. Naesha Nithish
A5077395669,Author,A. Nguyen
A5057050099,Author,A. Novo
A5109980044,Author,A. Oshima
A5049636432,Author,A. Pickering
A5136219938,Author,A. Putta Rangappa
A5113227826,Author,A.A. Lavrentyev
A5043664908,Author,A.O. Fedorchuk
A5042264865,Author,A.P.J. Mol
A5012512059,Author,A.S. El-Shafay
LOCAL_A000585,Author,A.T. Nguyen
A5048485189,Author,A.V. Vyazmin
A5083459846,Author,AMMAR A. RASHIED
A5060002377,Author,ANDREY N. KUZNETSOV
A5053378533,Author,Aarish Maqsood
A5068511935,Author,Aaron T. Ohta
A5044252117,Author,Aaron Tham
A5075548304,Author,Abbas Atapourfard
A5007425238,Author,Abd Ullah
A5023886955,Author,Abdallah A. A. Mohammed
A5078351000,Author,Abdel Rahman Al-Tawaha
A5044748360,Author,Abdelaziz Salah Saidi
A5090107776,Author,Abdolsatar Sorkheh
A5022528171,Author,Abdul Muin Hasan Busri
A5101860760,Author,Abdul Wahab
A5086990384,Author,Abdullah Aamir Hayat
A5087254067,Author,Abdurrahman Adamu Pantamee
A5017369658,Author,Abel Duarte Alonso
A5079670135,Author,Abhik Chatterjee
A5065897099,Author,Abhishek Srivastava
A5013334398,Author,Abhra Chanda
A5034456266,Author,Abou Bakar
A5027038320,Author,Abubokor Hanip
A5091972389,Author,Achouak Bouarar
A5071504081,Author,Adam Blanchard
A5053615849,Author,Adam Cheng
A5010718958,Author,Adam Mauskapf
A5039631988,Author,Adeniyi Temitope Adetunji
A5027651245,Author,Adhikesavan Harikrishnan
A5057678443,Author,Adi Rizal Soleh
A5076717996,Author,Adil Dilawar
A5032750590,Author,Aditya Wisnu Wardana
LOCAL_A000492,Author,"Adom, Philip Kofi"
A5056555278,Author,Adriana Knápková
A5008748101,Author,Adrián Cardíl
A5053488393,Author,Adão Silva
A5113012247,Author,Afia Abida Sultana
A5058710387,Author,Afnan Al Agha
A5068470300,Author,Afshin Ghahramani
A5061565634,Author,Afshin Maleki
A5102021727,Author,Afzal Shah
A5026263106,Author,Agbotiname Lucky Imoize
A5075229392,Author,Agnieszka Maria Koziel
A5007717816,Author,Ahad Hasan Tanim
A5090464440,Author,Ahmad Al-Fadly
A5062663112,Author,Ahmad Baroutaji
A5064374149,Author,Ahmad Ibrahim Aljumah
A5078519359,Author,Ahmed A. Ewees
A5084293052,Author,Ahmed Chemseddine Bouarar
A5059823880,Author,Ahmed Elbeltagi
A5008682765,Author,Ahmed H.E. Hassan
A5033799057,Author,Ahmed M. Galal
A5051081707,Author,Ahmed M. Masoud
