source,target,weight
A5103558942,A5052958591,2
A5103558942,A5102070282,2
A5103558942,A5045175158,2
A5103558942,A5080704496,2
A5103558942,A5001802727,2
A5103558942,A5060570144,2
A5103558942,A5059661066,1
A5103558942,A5072883137,2
A5103558942,A5108502319,2
A5103558942,A5080892177,2
A5103558942,A5088363082,2
A5103558942,A5100705609,2
A5103558942,A5000852799,1
A5052958591,A5102070282,2
A5052958591,A5045175158,4
A5052958591,A5080704496,4
A5052958591,A5001802727,2
A5052958591,A5060570144,3
A5052958591,A5059661066,1
A5052958591,A5072883137,2
A5052958591,A5108502319,3
A5052958591,A5080892177,4
A5052958591,A5088363082,3
A5052958591,A5100705609,3
A5052958591,A5110369816,1
A5052958591,A5000852799,1
A5052958591,A5021265784,1
A5052958591,A5030715845,1
A5052958591,A5046308015,1
A5052958591,A5015622316,1
A5052958591,A5111911511,1
A5052958591,LOCAL_A000574,1
A5052958591,A5091724281,1
A5102070282,A5045175158,2
A5102070282,A5080704496,2
A5102070282,A5001802727,2
A5102070282,A5060570144,2
A5102070282,A5059661066,1
A5102070282,A5072883137,2
A5102070282,A5108502319,2
A5102070282,A5080892177,2
A5102070282,A5088363082,2
A5102070282,A5100705609,2
A5102070282,A5000852799,1
A5045175158,A5080704496,4
A5045175158,A5001802727,2
A5045175158,A5060570144,3
A5045175158,A5059661066,1
A5045175158,A5072883137,2
A5045175158,A5108502319,3
A5045175158,A5080892177,4
A5045175158,A5088363082,3
A5045175158,A5100705609,3
A5045175158,A5110369816,1
A5045175158,A5000852799,1
A5045175158,A5021265784,1
A5045175158,A5030715845,1
A5045175158,A5046308015,1
A5045175158,A5015622316,1
A5045175158,A5111911511,1
A5045175158,LOCAL_A000574,1
A5045175158,A5091724281,1
A5080704496,A5001802727,2
A5080704496,A5060570144,3
A5080704496,A5059661066,1
A5080704496,A5072883137,2
A5080704496,A5108502319,3
A5080704496,A5080892177,4
A5080704496,A5088363082,3
A5080704496,A5100705609,3
A5080704496,A5110369816,1
A5080704496,A5000852799,1
A5080704496,A5021265784,1
A5080704496,A5030715845,1
A5080704496,A5046308015,1
A5080704496,A5015622316,1
A5080704496,A5111911511,1
A5080704496,LOCAL_A000574,1
A5080704496,A5091724281,1
A5001802727,A5060570144,2
A5001802727,A5059661066,1
A5001802727,A5072883137,2
A5001802727,A5108502319,2
A5001802727,A5080892177,2
A5001802727,A5088363082,2
A5001802727,A5100705609,2
A5001802727,A5000852799,1
A5060570144,A5059661066,1
A5060570144,A5072883137,2
A5060570144,A5108502319,2
A5060570144,A5080892177,3
A5060570144,A5088363082,3
A5060570144,A5100705609,3
A5060570144,A5000852799,1
A5060570144,A5021265784,1
A5060570144,A5030715845,1
A5060570144,A5046308015,1
A5060570144,A5015622316,1
A5060570144,A5111911511,1
A5060570144,LOCAL_A000574,1
A5060570144,A5091724281,1
A5059661066,A5072883137,1
A5059661066,A5108502319,1
A5059661066,A5080892177,1
A5059661066,A5088363082,1
A5059661066,A5100705609,1
A5072883137,A5108502319,3
A5072883137,A5080892177,2
A5072883137,A5088363082,3
A5072883137,A5100705609,2
A5072883137,A5000852799,1
A5072883137,A5004868082,1
A5072883137,LOCAL_A000642,1
A5072883137,A5108077585,1
A5072883137,LOCAL_A000643,1
A5072883137,A5019008914,1
A5072883137,A5050886317,1
A5108502319,A5080892177,3
A5108502319,A5088363082,3
A5108502319,A5100705609,2
A5108502319,A5110369816,1
A5108502319,A5000852799,1
A5108502319,A5004868082,1
A5108502319,LOCAL_A000642,1
A5108502319,A5108077585,1
A5108502319,LOCAL_A000643,1
A5108502319,A5019008914,1
A5108502319,A5050886317,1
A5080892177,A5088363082,3
A5080892177,A5100705609,3
A5080892177,A5110369816,1
A5080892177,A5000852799,1
A5080892177,A5021265784,1
A5080892177,A5030715845,1
A5080892177,A5046308015,1
A5080892177,A5015622316,1
A5080892177,A5111911511,1
A5080892177,LOCAL_A000574,1
A5080892177,A5091724281,1
A5088363082,A5100705609,3
A5088363082,A5000852799,1
A5088363082,A5004868082,1
A5088363082,LOCAL_A000642,1
A5088363082,A5108077585,1
A5088363082,LOCAL_A000643,1
A5088363082,A5019008914,1
A5088363082,A5050886317,1
A5088363082,A5021265784,1
A5088363082,A5030715845,1
A5088363082,A5046308015,1
A5088363082,A5015622316,1
A5088363082,A5111911511,1
A5088363082,LOCAL_A000574,1
A5088363082,A5091724281,1
A5100705609,A5000852799,1
A5100705609,A5021265784,1
A5100705609,A5030715845,1
A5100705609,A5046308015,1
A5100705609,A5015622316,1
A5100705609,A5111911511,1
A5100705609,LOCAL_A000574,1
A5100705609,A5091724281,1
A5082528388,A5021287285,1
A5052671761,A5084547760,1
A5052671761,A5071619309,1
A5052671761,A5072224443,1
A5052671761,A5004230431,1
A5052671761,A5079440745,1
A5052671761,A5061865174,1
A5052671761,A5041708086,1
A5084547760,A5071619309,1
A5084547760,A5072224443,1
A5071619309,A5072224443,1
A5072224443,A5006348959,1
A5072224443,A5087658530,1
A5072224443,A5006705698,1
A5072224443,A5030044861,2
A5072224443,A5082578116,1
A5025759682,A5085208410,1
A5025759682,A5111685187,1
A5025759682,A5046970229,1
A5085208410,A5111685187,1
A5085208410,A5046970229,1
A5111685187,A5046970229,1
A5031627421,A5008231286,3
A5031627421,A5052836637,3
A5031627421,A5109127716,3
A5031627421,A5056794023,1
A5031627421,A5045970281,1
A5031627421,A5111866351,1
A5031627421,A5109603511,1
A5031627421,A5030054157,1
A5031627421,A5015337386,1
A5031627421,A5078680445,1
A5031627421,A5110058980,1
A5031627421,A5044856217,1
A5008231286,A5052836637,3
A5008231286,A5109127716,3
A5008231286,A5056794023,1
A5008231286,A5045970281,1
A5008231286,A5111866351,1
A5008231286,A5109603511,1
A5008231286,A5030054157,1
A5008231286,A5015337386,1
A5008231286,A5078680445,1
A5008231286,A5110058980,1
A5008231286,A5044856217,1
A5052836637,A5109127716,5
A5052836637,A5056794023,2
A5052836637,A5045970281,1
A5052836637,A5112073302,2
A5052836637,A5078680445,2
A5052836637,A5062168310,1
A5052836637,A5070999622,1
A5052836637,A5111866351,2
A5052836637,A5046987906,1
A5052836637,A5074230194,1
A5052836637,A5015337386,2
A5052836637,A5109603511,1
A5052836637,A5030054157,1
A5052836637,A5110058980,1
A5052836637,A5044856217,1
A5109127716,A5056794023,2
A5109127716,A5045970281,1
A5109127716,A5112073302,2
A5109127716,A5078680445,2
A5109127716,A5062168310,1
A5109127716,A5070999622,1
A5109127716,A5111866351,2
A5109127716,A5046987906,1
A5109127716,A5074230194,1
A5109127716,A5015337386,2
A5109127716,A5109603511,1
A5109127716,A5030054157,1
A5109127716,A5110058980,1
A5109127716,A5044856217,1
A5056794023,A5045970281,1
A5056794023,A5112073302,1
A5056794023,A5078680445,1
A5056794023,A5062168310,1
A5015667422,A5049339151,1
A5078525116,A5069867157,1
A5078525116,A5078250747,1
A5078525116,A5023847482,1
A5078525116,A5034050904,1
A5078525116,A5110409610,1
A5069867157,A5078250747,1
A5069867157,A5023847482,1
A5069867157,A5034050904,1
A5069867157,A5110409610,1
A5078250747,A5023847482,1
A5078250747,A5034050904,1
A5078250747,A5110409610,1
A5023847482,A5034050904,1
A5023847482,A5110409610,1
A5034050904,A5110409610,1
A5039791776,A5074997780,1
A5030825815,A5044887879,1
A5030825815,A5006496190,1
A5030825815,A5035362471,1
A5030825815,A5020833933,1
A5030825815,A5101412721,1
A5030825815,A5006299836,1
A5044887879,A5006496190,1
A5044887879,A5035362471,1
A5044887879,A5020833933,1
A5044887879,A5101412721,1
A5044887879,A5006299836,1
A5006496190,A5035362471,1
A5006496190,A5020833933,8
A5006496190,A5101412721,1
A5006496190,A5006299836,1
A5006496190,A5045826726,6
A5006496190,A5018331389,2
A5006496190,LOCAL_A000389,3
A5006496190,A5102004247,7
A5006496190,A5048355279,2
A5006496190,A5057481424,1
A5006496190,A5086283782,1
A5006496190,A5034192580,1
A5006496190,A5006585321,1
A5006496190,A5026380019,1
A5006496190,A5101990554,1
A5006496190,A5055541043,2
A5006496190,A5006515236,1
A5006496190,A5072452119,1
A5006496190,A5005819709,1
A5006496190,A5055726223,1
A5006496190,A5019007060,1
A5006496190,A5001507533,1
A5006496190,A5003502568,1
A5006496190,A5028344237,1
A5006496190,A5025281969,1
A5006496190,A5057057975,1
A5006496190,A5077097054,1
A5006496190,A5067800187,1
A5006496190,A5083276453,2
A5006496190,A5035378097,3
A5006496190,A5008510437,2
A5006496190,A5052968307,1
A5006496190,A5065225644,1
A5006496190,A5031370887,2
A5006496190,A5033554224,1
A5006496190,A5021000959,1
A5006496190,A5020729122,2
A5006496190,A5104340853,1
A5006496190,A5113119675,2
A5006496190,A5101662082,1
A5006496190,A5102008622,1
A5006496190,A5103184608,1
A5006496190,A5026427058,1
A5006496190,A5012956416,1
A5035362471,A5020833933,1
A5035362471,A5101412721,1
A5035362471,A5006299836,1
A5020833933,A5101412721,1
A5020833933,A5006299836,1
A5020833933,A5045826726,6
A5020833933,A5018331389,2
A5020833933,LOCAL_A000389,3
A5020833933,A5102004247,7
A5020833933,A5048355279,2
A5020833933,A5057481424,1
A5020833933,A5086283782,1
A5020833933,A5034192580,1
A5020833933,A5006585321,1
A5020833933,A5026380019,1
A5020833933,A5101990554,1
A5020833933,A5055541043,2
A5020833933,A5006515236,1
A5020833933,A5072452119,1
A5020833933,A5005819709,1
A5020833933,A5055726223,1
A5020833933,A5019007060,1
A5020833933,A5001507533,1
A5020833933,A5003502568,1
A5020833933,A5028344237,1
A5020833933,A5025281969,1
A5020833933,A5057057975,1
A5020833933,A5077097054,1
A5020833933,A5067800187,1
A5020833933,A5083276453,2
A5020833933,A5035378097,3
A5020833933,A5008510437,2
A5020833933,A5052968307,1
A5020833933,A5065225644,1
A5020833933,A5031370887,2
A5020833933,A5033554224,1
A5020833933,A5021000959,1
A5020833933,A5020729122,2
A5020833933,A5104340853,1
A5020833933,A5113119675,2
A5020833933,A5101662082,1
A5020833933,A5102008622,1
A5020833933,A5103184608,1
A5020833933,A5026427058,1
A5020833933,A5012956416,1
A5101412721,A5006299836,1
A5027129342,A5097638246,1
A5027129342,A5071644998,1
A5027129342,A5058972343,1
A5027129342,A5089409625,1
A5027129342,A5103712019,1
A5027129342,A5038357686,1
A5027129342,LOCAL_A000647,1
A5097638246,A5071644998,1
A5097638246,A5058972343,1
A5097638246,A5089409625,1
A5097638246,A5103712019,1
A5097638246,A5038357686,1
A5097638246,LOCAL_A000647,1
A5071644998,A5058972343,1
A5071644998,A5089409625,1
A5071644998,A5103712019,1
A5071644998,A5038357686,1
A5071644998,LOCAL_A000647,1
A5058972343,A5089409625,1
A5058972343,A5103712019,1
A5058972343,A5038357686,1
A5058972343,LOCAL_A000647,1
A5089409625,A5103712019,1
A5089409625,A5038357686,1
A5089409625,LOCAL_A000647,1
A5103712019,A5038357686,1
A5103712019,LOCAL_A000647,1
A5038357686,LOCAL_A000647,1
A5013073221,A5090925538,1
A5013073221,A5027706324,1
A5013073221,A5112070802,1
A5013073221,A5042843111,1
A5090925538,A5027706324,1
A5090925538,A5112070802,1
A5090925538,A5042843111,1
A5027706324,A5112070802,1
A5027706324,A5042843111,1
A5112070802,A5042843111,1
A5005615697,A5103323474,1
A5005615697,A5063393733,1
A5005615697,A5044054195,1
A5005615697,A5023323877,1
A5103323474,A5063393733,1
A5103323474,A5044054195,1
A5103323474,A5023323877,1
A5103323474,A5085078871,1
A5103323474,A5111072575,1
A5103323474,A5035438749,1
A5103323474,A5064645144,1
A5103323474,A5086500382,1
A5103323474,A5006513255,1
A5103323474,A5096362209,1
A5063393733,A5044054195,1
A5063393733,A5023323877,1
A5044054195,A5023323877,1
A5023323877,A5043650731,1
A5023323877,A5109158453,1
A5023323877,A5012509568,1
A5006348959,A5087658530,1
A5006348959,A5042264865,1
A5087658530,A5108236710,1
A5087658530,A5010793698,1
A5087658530,A5050411356,1
A5087658530,A5040078698,1
A5087658530,A5040974749,1
A5087658530,A5024654850,1
A5087658530,A5051435891,1
A5087658530,A5002515116,1
A5087658530,LOCAL_A000050,1
A5112073302,A5078680445,1
A5112073302,A5062168310,1
A5112073302,A5070999622,1
A5112073302,A5111866351,1
A5112073302,A5046987906,1
A5112073302,A5074230194,1
A5112073302,A5015337386,1
A5078680445,A5062168310,1
A5078680445,A5110058980,1
A5078680445,A5044856217,1
A5022176740,A5082519416,1
A5022176740,A5106234466,1
A5022176740,A5052862902,2
A5022176740,A5004526884,2
A5022176740,A5042264865,2
A5082519416,A5106234466,1
A5052862902,A5004526884,2
A5052862902,A5042264865,2
A5004526884,A5042264865,2
A5004526884,A5059660065,2
A5004526884,A5102851626,2
A5004526884,A5001133335,1
A5007924087,A5111719564,2
A5007924087,A5067125998,1
A5007924087,A5073979930,1
A5007924087,A5022001106,1
A5007924087,A5110094777,1
A5007924087,A5021191541,1
A5007924087,A5043158224,1
A5007924087,A5090361625,2
A5007924087,A5081641836,1
A5007924087,A5111817425,2
A5007924087,A5113544583,1
A5007924087,A5080968099,1
A5007924087,A5049765310,1
A5007924087,A5084825086,1
A5007924087,A5108224525,1
A5111719564,A5067125998,2
A5111719564,A5073979930,1
A5111719564,A5022001106,1
A5111719564,A5110094777,1
A5111719564,A5021191541,1
A5111719564,A5043158224,1
A5111719564,A5090361625,2
A5111719564,A5081641836,1
A5111719564,A5111817425,3
A5111719564,A5113544583,1
A5111719564,A5080968099,2
A5111719564,A5049765310,2
A5111719564,A5084825086,1
A5111719564,A5108224525,1
A5111719564,A5111866792,1
A5111719564,A5023787832,1
A5067125998,A5073979930,1
A5067125998,A5022001106,1
A5067125998,A5110094777,1
A5067125998,A5021191541,1
A5067125998,A5043158224,1
A5067125998,A5090361625,1
A5067125998,A5081641836,1
A5067125998,A5111817425,2
A5067125998,A5080968099,1
A5067125998,A5111866792,1
A5067125998,A5049765310,1
A5067125998,A5023787832,1
A5073979930,A5022001106,1
A5073979930,A5110094777,1
A5073979930,A5021191541,1
A5073979930,A5043158224,1
A5073979930,A5090361625,1
A5073979930,A5081641836,1
A5073979930,A5111817425,1
A5022001106,A5110094777,1
A5022001106,A5021191541,1
A5022001106,A5043158224,1
A5022001106,A5090361625,1
A5022001106,A5081641836,1
A5022001106,A5111817425,1
A5110094777,A5021191541,1
A5110094777,A5043158224,1
A5110094777,A5090361625,1
A5110094777,A5081641836,1
A5110094777,A5111817425,1
A5110094777,A5056482864,1
A5110094777,A5002451590,1
A5110094777,A5025049120,1
A5110094777,A5109974992,1
A5021191541,A5043158224,1
A5021191541,A5090361625,1
A5021191541,A5081641836,1
A5021191541,A5111817425,1
A5043158224,A5090361625,1
A5043158224,A5081641836,1
A5043158224,A5111817425,1
A5090361625,A5081641836,1
A5090361625,A5111817425,2
A5090361625,A5113544583,1
A5090361625,A5080968099,1
A5090361625,A5049765310,1
A5090361625,A5084825086,1
A5090361625,A5108224525,1
A5081641836,A5111817425,1
A5111817425,A5113544583,1
A5111817425,A5080968099,2
A5111817425,A5049765310,2
A5111817425,A5084825086,1
A5111817425,A5108224525,1
A5111817425,A5111866792,1
A5111817425,A5023787832,1
A5049765310,A5052869556,1
A5049765310,A5022771633,1
A5049765310,A5049249038,1
A5049765310,A5025049120,2
A5049765310,A5113544583,1
A5049765310,A5080968099,2
A5049765310,A5084825086,1
A5049765310,A5108224525,1
A5049765310,A5009283189,1
A5049765310,A5056482864,2
A5049765310,A5110201827,1
A5049765310,A5008079426,1
A5049765310,A5037459239,1
A5049765310,A5113613159,1
A5049765310,A5111869788,1
A5049765310,A5111866792,1
A5049765310,A5023787832,1
A5049765310,A5018098972,1
A5052869556,A5022771633,1
A5052869556,A5049249038,1
A5052869556,A5025049120,1
A5022771633,A5049249038,1
A5022771633,A5025049120,1
A5049249038,A5025049120,1
A5025049120,A5056482864,2
A5025049120,A5002451590,1
A5025049120,A5109974992,1
A5025049120,A5018098972,1
A5113544583,A5080968099,1
A5113544583,A5084825086,1
A5113544583,A5108224525,1
A5080968099,A5084825086,1
A5080968099,A5108224525,1
A5080968099,A5111866792,1
A5080968099,A5023787832,1
A5084825086,A5108224525,1
A5009283189,A5056482864,1
A5009283189,A5110201827,1
A5009283189,A5008079426,1
A5009283189,A5037459239,1
A5009283189,A5113613159,1
A5009283189,A5111869788,1
A5056482864,A5110201827,1
A5056482864,A5008079426,1
A5056482864,A5037459239,1
A5056482864,A5113613159,1
A5056482864,A5111869788,1
A5056482864,A5002451590,1
A5056482864,A5109974992,1
A5056482864,A5018098972,1
A5110201827,A5008079426,1
A5110201827,A5037459239,1
A5110201827,A5113613159,1
A5110201827,A5111869788,1
A5008079426,A5037459239,1
A5008079426,A5113613159,1
A5008079426,A5111869788,1
A5037459239,A5113613159,1
A5037459239,A5111869788,1
A5113613159,A5111869788,1
A5098041131,A5098414159,1
A5054767996,A5087704967,1
A5054767996,A5030296089,1
A5054767996,A5079194244,1
A5087704967,A5030296089,1
A5087704967,A5079194244,1
A5030296089,A5079194244,1
A5004868082,LOCAL_A000642,1
A5004868082,A5108077585,1
A5004868082,LOCAL_A000643,1
A5004868082,A5019008914,1
A5004868082,A5050886317,1
LOCAL_A000642,A5108077585,1
LOCAL_A000642,LOCAL_A000643,1
LOCAL_A000642,A5019008914,1
LOCAL_A000642,A5050886317,1
A5108077585,LOCAL_A000643,1
A5108077585,A5019008914,1
A5108077585,A5050886317,1
LOCAL_A000643,A5019008914,1
LOCAL_A000643,A5050886317,1
A5019008914,A5050886317,1
A5111866792,A5023787832,1
A5002451590,A5109974992,1
